Experiment conducted at: 2024-01-12 14:40:28
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,8.5554,0.550833,0.345248,0.429209
Thumb_Distal,9.62985,29.7811,8.0524,16.2369
Index_Middle,9.62985,10.2262,2.61313,4.61912
Index_Middle,9.62985,0,0,0
Small_Middle,9.62985,20.8352,4.3914,20.3671
Thumb_Distal,9.97305,51.3665,6.36512,31.6319
Index_Distal,9.97305,17.9407,5.53945,15.1373
Small_Middle,9.97305,28.3039,2.46775,21.705
Small_Distal,9.97305,2.59719,0.329222,2.57624
Small_Distal,9.97305,3.64813,0.401162,3.62601
Thumb_Distal,10.2769,71.36,9.7778,45.2109
Index_Distal,10.2769,25.4457,5.75532,8.4298
Small_Middle,10.2769,37.3531,3.9425,26.5847
Small_Distal,10.2769,9.556,1.19851,9.48055
Thumb_Distal,10.5634,91.6796,14.7857,62.3317
Index_Distal,10.5634,20.8743,7.02738,1.76074
Index_Distal,10.5634,11.2331,6.95943,1.17138
Small_Middle,10.5634,44.3507,0.885999,44.3419
Small_Distal,10.5634,15.3789,0.245578,15.377
Thumb_Distal,10.8252,113.324,32.4229,77.4796
Index_Distal,10.8252,36.8741,20.911,2.56064
Middle_Distal,10.8252,8.10605,2.13166,7.82075
Small_Middle,10.8252,32.6716,3.75316,32.4553
Small_Distal,10.8252,33.8132,4.13679,33.5592
Thumb_Distal,11.0571,141.448,52.8122,85.5661
Index_Distal,11.0571,49.4884,21.7916,15.6315
Middle_Distal,11.0571,8.92949,7.54322,4.77867
Ring_Distal,11.0571,7.72084,5.40927,5.50919
Small_Middle,11.0571,23.3385,8.05622,18.5236
Small_Distal,11.0571,49.9608,8.81543,35.697
Thumb_Distal,11.2734,162.307,67.8353,92.559
Index_Distal,11.2734,57.1849,25.8945,12.7038
Middle_Distal,11.2734,11.9838,10.9715,4.82054
Ring_Distal,11.2734,10.6885,8.12506,6.94455
Small_Middle,11.2734,16.6951,7.83907,14.7403
Small_Distal,11.2734,63.9004,13.91,48.1273
Thumb_Distal,11.5192,172.195,84.6314,88.3037
Index_Distal,11.5192,62.6531,29.1712,0.892161
Middle_Distal,11.5192,7.16568,7.16276,0.204319
Middle_Distal,11.5192,7.05376,7.05111,0.193219
Ring_Distal,11.5192,13.1713,11.0808,7.12043
Small_Distal,11.5192,81.0012,29.464,75.4525
Thumb_Distal,11.7403,185.474,95.5726,79.9986
Index_Distal,11.7403,67.5682,29.7206,8.25031
Middle_Distal,11.7403,7.96409,7.96409,0.00843898
Middle_Distal,11.7403,1.3853,1.3853,0.000936043
Middle_Distal,11.7403,6.27574,6.27574,0.00388295
Ring_Distal,11.7403,6.16406,5.21124,3.29221
Ring_Distal,11.7403,0.902172,0.763072,0.481285
Ring_Distal,11.7403,7.8909,6.66762,4.22009
Small_Distal,11.7403,37.9539,16.645,34.1093
Small_Distal,11.7403,52.4391,23.1814,47.037
Thumb_Distal,11.9655,20.4806,12.9696,5.0033
Index_Distal,11.9655,5.53283,5.34306,1.43666
Middle_Distal,11.9655,0,0,0
Ring_Distal,11.9655,0,0,0
Ring_Distal,11.9655,0,0,0
