Experiment conducted at: 2024-01-12 14:39:24
Body Name,Time,normal,tangent1,tangent2
Thumb_Proximal,8.0433,1.23118,0,1.23118
Thumb_Distal,8.9457,1.38981,0,1.38981
Thumb_Distal,9.28305,30.3238,9.66614,19.4203
Index_Distal,9.28305,11.904,4.48851,7.41551
Index_Distal,9.28305,10.8406,3.2798,7.56083
Thumb_Distal,9.67305,44.2596,3.84766,19.0225
Index_Middle,9.67305,22.7157,1.65717,2.72303
Small_Distal,9.67305,19.265,1.26749,17.9975
Thumb_Distal,9.97275,68.2156,12.6013,23.2766
Index_Middle,9.97275,31.8571,6.24088,8.99073
Small_Middle,9.97275,38.0513,5.75358,32.2977
Thumb_Distal,10.3065,105.476,8.08646,15.1398
Index_Middle,10.3065,59.3952,10.7567,22.9031
Middle_Distal,10.3065,3.84675,0,3.84675
Ring_Distal,10.3065,0,0,0
Small_Distal,10.3065,42.9864,2.37527,12.2487
Thumb_Distal,10.5814,132.018,12.8579,17.586
Index_Middle,10.5814,72.5021,1.05451,0.0281835
Middle_Distal,10.5814,6.57023,3.84329,0.921019
Ring_Distal,10.5814,4.43758,2.85195,1.58563
Small_Distal,10.5814,49.57,5.39164,16.5522
Thumb_Distal,10.8858,159.43,15.5495,17.9561
Index_Middle,10.8858,87.3914,5.51791,13.3477
Middle_Distal,10.8858,9.56146,3.97829,5.58317
Ring_Distal,10.8858,6.95137,5.09291,1.85846
Small_Distal,10.8858,57.1231,12.2425,35.8487
Thumb_Distal,11.1516,185.675,29.9481,25.7799
Index_Middle,11.1516,87.3193,1.72946,0.72687
Index_Distal,11.1516,5.25685,1.88113,1.74413
Index_Distal,11.1516,4.77089,1.891,1.74786
Middle_Distal,11.1516,12.891,6.64418,3.85074
Ring_Distal,11.1516,9.33791,6.38452,2.95339
Small_Distal,11.1516,33.8598,6.10351,15.9454
Small_Distal,11.1516,34.4077,6.10802,16.0095
Thumb_Distal,11.4123,194.084,51.027,37.6412
Index_Middle,11.4123,59.4907,6.31282,5.8508
Index_Distal,11.4123,34.7981,4.45793,3.55029
Middle_Distal,11.4123,15.5791,9.43799,6.14111
Ring_Distal,11.4123,11.4761,9.26161,2.21449
Small_Distal,11.4123,38.1295,11.4025,26.4931
Small_Distal,11.4123,36.899,11.0093,25.8897
Thumb_Distal,11.6719,194.695,92.6704,58.1136
Index_Distal,11.6719,81.2022,29.2299,7.75225
Middle_Distal,11.6719,18.6273,18.6273,0
Ring_Distal,11.6719,6.42356,6.42356,0
Ring_Distal,11.6719,7.09246,7.09246,0
Small_Distal,11.6719,83.7863,32.0633,51.723
Thumb_Distal,11.9452,203.654,99.4069,62.4182
Index_Distal,11.9452,88.1289,35.7679,12.902
Middle_Distal,11.9452,5.90265,5.90265,0
Middle_Distal,11.9452,7.78168,7.78168,0
Middle_Distal,11.9452,4.93933,4.93933,0
Ring_Distal,11.9452,11.157,11.157,0
Small_Distal,11.9452,86.6117,33.6092,53.0025
Thumb_Distal,12.1899,4.64728,2.20478,0.468802
Small_Middle,12.1899,6.42049,1.86383,4.55666
Small_Middle,13.4104,0.546656,0,0.546656
Small_Middle,13.8258,0.61967,0,0.61967
